account_id,person_id,account_type,bank_alias,opening_date,branch_location_id,ownership_confidence
ACCOUNT_00001,PERSON_1483,savings,SynthBank_Beta,2022-03-06 06:44:59,LOCATION_0299,0.96
ACCOUNT_00002,PERSON_0105,savings,SynthBank_Beta,2023-04-20 12:42:55,LOCATION_0161,0.87
ACCOUNT_00003,PERSON_1008,current,SynthBank_Alpha,2023-12-12 07:48:31,LOCATION_0007,0.93
ACCOUNT_00004,PERSON_1353,savings,SynthBank_Beta,2023-06-06 22:01:13,LOCATION_0099,0.93
ACCOUNT_00005,PERSON_1204,current,SynthBank_Gamma,2024-07-30 01:15:15,LOCATION_0175,0.81
ACCOUNT_00006,PERSON_1310,current,SynthBank_Beta,2023-02-26 00:13:50,LOCATION_0168,0.83
ACCOUNT_00007,PERSON_0163,savings,SynthBank_Alpha,2022-04-21 10:23:43,LOCATION_0007,0.85
ACCOUNT_00008,PERSON_1363,savings,SynthBank_Beta,2022-03-30 07:23:16,LOCATION_0219,0.86
ACCOUNT_00009,PERSON_1213,current,SynthBank_Omega,2023-07-31 17:07:30,LOCATION_0192,0.93
ACCOUNT_00010,PERSON_0147,current,SynthBank_Alpha,2026-03-08 15:46:21,LOCATION_0230,0.98
ACCOUNT_00011,PERSON_0266,current,SynthBank_Omega,2022-10-29 13:48:10,LOCATION_0101,0.81
ACCOUNT_00012,PERSON_0048,current,SynthBank_Omega,2022-04-08 16:50:36,LOCATION_0250,0.94
ACCOUNT_00013,PERSON_0938,savings,SynthBank_Delta,2024-09-20 07:50:47,LOCATION_0282,0.82
ACCOUNT_00014,PERSON_0146,current,SynthBank_Delta,2023-08-28 17:39:22,LOCATION_0179,0.86
ACCOUNT_00015,PERSON_0829,savings,SynthBank_Delta,2024-10-12 12:28:55,LOCATION_0266,0.77
ACCOUNT_00016,PERSON_1499,current,SynthBank_Gamma,2026-04-26 14:26:29,LOCATION_0020,0.93
ACCOUNT_00017,PERSON_1186,current,SynthBank_Gamma,2023-09-20 11:38:26,LOCATION_0042,0.8
ACCOUNT_00018,PERSON_0818,current,SynthBank_Beta,2025-07-31 02:28:50,LOCATION_0272,0.77
ACCOUNT_00019,PERSON_0796,current,SynthBank_Omega,2025-07-05 23:54:13,LOCATION_0152,0.76
ACCOUNT_00020,PERSON_1171,current,SynthBank_Beta,2022-03-07 13:16:55,LOCATION_0296,0.77
ACCOUNT_00021,PERSON_0650,current,SynthBank_Omega,2025-10-16 14:36:19,LOCATION_0081,0.85
ACCOUNT_00022,PERSON_1303,current,SynthBank_Gamma,2025-07-02 21:58:33,LOCATION_0042,0.97
ACCOUNT_00023,PERSON_1007,savings,SynthBank_Alpha,2023-10-15 12:57:05,LOCATION_0149,0.86
ACCOUNT_00024,PERSON_0784,current,SynthBank_Omega,2024-02-06 05:22:38,LOCATION_0037,0.92
ACCOUNT_00025,PERSON_0998,current,SynthBank_Omega,2023-12-27 21:22:30,LOCATION_0199,0.87
ACCOUNT_00026,PERSON_0969,current,SynthBank_Alpha,2024-11-08 15:29:17,LOCATION_0278,0.88
ACCOUNT_00027,PERSON_0486,savings,SynthBank_Beta,2022-04-18 14:38:10,LOCATION_0124,0.75
ACCOUNT_00028,PERSON_1352,savings,SynthBank_Alpha,2026-05-28 12:15:32,LOCATION_0135,0.88
ACCOUNT_00029,PERSON_1376,savings,SynthBank_Gamma,2022-03-01 13:54:27,LOCATION_0215,0.85
ACCOUNT_00030,PERSON_0977,savings,SynthBank_Delta,2024-07-04 13:46:40,LOCATION_0110,0.77
ACCOUNT_00031,PERSON_1242,current,SynthBank_Delta,2025-03-25 06:07:17,LOCATION_0042,0.84
ACCOUNT_00032,PERSON_1103,savings,SynthBank_Alpha,2026-05-18 07:49:04,LOCATION_0232,0.75
ACCOUNT_00033,PERSON_1226,current,SynthBank_Alpha,2022-05-22 06:43:09,LOCATION_0040,0.93
ACCOUNT_00034,PERSON_0022,current,SynthBank_Omega,2025-05-05 13:41:48,LOCATION_0243,0.97
ACCOUNT_00035,PERSON_0639,savings,SynthBank_Alpha,2024-07-28 20:09:42,LOCATION_0250,0.8
ACCOUNT_00036,PERSON_0779,current,SynthBank_Omega,2025-04-08 11:07:06,LOCATION_0202,0.9
