person_id,name,name_variant,age,gender,city,occupation,address_id,primary_phone_id,risk_indicator,source_record_count
PERSON_0001,Arjun Choudhary,ARJUN CHOUDHARY,57,M,Lucknow,shopkeeper,LOCATION_0133,PHONE_00001,none,0
PERSON_0002,Priya Chauhan,P. Chauhan,52,F,Hyderabad,clerk,LOCATION_0280,PHONE_00002,none,0
PERSON_0003,Divya Bansal,Divya Bansal,64,F,Hyderabad,salesperson,LOCATION_0140,PHONE_00003,none,0
PERSON_0004,Rekha Kapoor,REKHA KAPOOR,19,F,Lucknow,mechanic,LOCATION_0163,PHONE_00004,none,0
PERSON_0005,Gaurav Bhatt,Gaurav Bhatt,60,M,Delhi,farmer,LOCATION_0221,PHONE_00005,none,1
PERSON_0006,Sonia Yadav,Sonia Yadav,50,F,Indore,student,LOCATION_0198,PHONE_00006,none,1
PERSON_0007,Nisha Joshi,nisha joshi,26,F,Lucknow,accountant,LOCATION_0133,PHONE_00007,none,0
PERSON_0008,Naveen Pandey,Naveen Pandey,20,M,Pune,driver,LOCATION_0277,PHONE_00008,none,0
PERSON_0009,Yash Choudhary,Yash Choudhary,56,M,Hyderabad,trader,LOCATION_0010,PHONE_00009,none,1
PERSON_0010,Rekha Chauhan,Rekha Chauhan,31,F,Chandigarh,private employee,LOCATION_0104,PHONE_00010,none,0
PERSON_0011,Priya Choudhary,Priya Choudhary,31,F,Hyderabad,private employee,LOCATION_0030,PHONE_00011,none,0
PERSON_0012,Alka Reddy,Alka Reddy,48,F,Jaipur,accountant,LOCATION_0142,PHONE_00012,none,0
PERSON_0013,Anjali Rathore,Anjali Rathore,46,F,Mumbai,accountant,LOCATION_0226,PHONE_00013,none,0
PERSON_0014,Manoj Nair,ManojNair,58,M,Pune,electrician,LOCATION_0127,PHONE_00014,none,1
PERSON_0015,Rajesh Choudhary,R. Choudhary,43,M,Jaipur,driver,LOCATION_0102,PHONE_00015,none,1
PERSON_0016,Neha Pandey,neha pandey,26,F,Hyderabad,clerk,LOCATION_0120,PHONE_00016,none,0
PERSON_0017,Aman Singh,Aman Singh,65,M,Bhopal,delivery worker,LOCATION_0269,PHONE_00017,none,0
PERSON_0018,Nikhil Iyer,NIKHIL IYER,22,M,Lucknow,private employee,LOCATION_0293,PHONE_00018,none,0
PERSON_0019,Geeta Yadav,GEETA YADAV,36,F,Lucknow,private employee,LOCATION_0183,PHONE_00019,none,0
PERSON_0020,Karan Reddy,KaranReddy,21,M,Bhopal,accountant,LOCATION_0279,PHONE_00020,none,1
PERSON_0021,Pankaj Malhotra,Pankaj Malhotra,22,M,Pune,unemployed,LOCATION_0267,PHONE_00021,none,1
PERSON_0022,Priya Choudhary,Priya Choudhary,40,F,Lucknow,unemployed,LOCATION_0173,PHONE_00022,flagged,0
PERSON_0023,Manoj Iyer,manoj iyer,41,M,Ahmedabad,electrician,LOCATION_0125,PHONE_00023,none,1
PERSON_0024,Nikhil Kapoor,N. Kapoor,57,M,Hyderabad,salesperson,LOCATION_0100,PHONE_00024,none,1
PERSON_0025,Priya Naidu,Priya Naidu,33,F,Ahmedabad,trader,LOCATION_0035,PHONE_00025,none,0
