report_id,case_id,timestamp,location_id,person_reference,vehicle_reference,observation,source,confidence
SURV_00001,,2025-02-22 21:50:28,LOCATION_0211,Swati Chauhan,VEHICLE_00001,Swati Chauhan was clearly identified near LOCATION_0211 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.67
SURV_00002,CASE_0001,2025-07-24 16:37:44,LOCATION_0041,Rajesh Rathore,VEHICLE_00005,Rajesh Rathore was observed operating VEHICLE_00005 near LOCATION_0041 prior to the reported incident.,FIELD_SURVEILLANCE_UNIT,0.86
SURV_00003,CASE_0001,2026-04-19 07:28:58,LOCATION_0141,V. Tiwari,VEHICLE_00003,A male individual resembling V. Tiwari was observed near LOCATION_0141.,FIELD_SURVEILLANCE_UNIT,0.65
SURV_00004,CASE_0002,2025-04-14 13:44:06,LOCATION_0242,NaveenSaxena,VEHICLE_00006,A male individual resembling NaveenSaxena was observed near LOCATION_0242.,FIELD_SURVEILLANCE_UNIT,0.69
SURV_00005,CASE_0002,2025-08-03 21:44:59,LOCATION_0202,S. Saxena,VEHICLE_00007,A male individual resembling S. Saxena was observed near LOCATION_0202.,FIELD_SURVEILLANCE_UNIT,0.69
SURV_00006,CASE_0002,2026-02-28 15:27:59,LOCATION_0092,Ritu P.,VEHICLE_00008,A male individual resembling Ritu P. was observed near LOCATION_0092.,FIELD_SURVEILLANCE_UNIT,0.85
SURV_00007,CASE_0003,2026-04-30 14:29:22,LOCATION_0293,Manju Joshi,VEHICLE_00015,Manju Joshi was clearly identified near LOCATION_0293 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.66
SURV_00008,CASE_0003,2025-02-02 07:08:20,LOCATION_0203,Deepak Verma,,A male individual resembling Deepak Verma was observed near LOCATION_0203.,FIELD_SURVEILLANCE_UNIT,0.68
SURV_00009,CASE_0003,2026-02-12 07:42:52,LOCATION_0233,Ritu Singh,VEHICLE_00016,Ritu Singh was clearly identified near LOCATION_0233 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.74
SURV_00010,CASE_0004,2025-10-17 10:34:16,LOCATION_0284,A. Kulkarni,VEHICLE_00023,A male individual resembling A. Kulkarni was observed near LOCATION_0284.,FIELD_SURVEILLANCE_UNIT,0.65
SURV_00011,CASE_0004,2025-05-23 13:41:40,LOCATION_0204,Aman Sharma,VEHICLE_00024,Aman Sharma was clearly identified near LOCATION_0204 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.87
SURV_00012,CASE_0004,2025-07-03 15:32:15,LOCATION_0274,Ashok Chauhan,VEHICLE_00025,Ashok Chauhan was clearly identified near LOCATION_0274 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.76
SURV_00013,CASE_0005,2026-01-15 05:33:51,LOCATION_0105,Preeti Reddy,VEHICLE_00032,Preeti Reddy was clearly identified near LOCATION_0105 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.84
SURV_00014,CASE_0005,2025-11-21 00:35:04,LOCATION_0095,Karan Nair,VEHICLE_00454,Karan Nair was clearly identified near LOCATION_0095 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.67
SURV_00015,CASE_0005,2026-04-05 19:11:59,LOCATION_0245,Rohit Singh,VEHICLE_00033,Rohit Singh was clearly identified near LOCATION_0245 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.66
SURV_00016,CASE_0006,2026-02-24 09:37:34,LOCATION_0266,Ravi Y.,VEHICLE_00040,A male individual resembling Ravi Y. was observed near LOCATION_0266.,FIELD_SURVEILLANCE_UNIT,0.88
SURV_00017,CASE_0006,2026-02-26 17:29:26,LOCATION_0156,Vikram Chauhan,VEHICLE_00041,Vikram Chauhan was clearly identified near LOCATION_0156 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.83
SURV_00018,CASE_0006,2026-04-06 18:39:56,LOCATION_0006,rajesh gupta,VEHICLE_00042,A male individual resembling rajesh gupta was observed near LOCATION_0006.,FIELD_SURVEILLANCE_UNIT,0.76
SURV_00019,CASE_0007,2025-03-22 05:16:30,LOCATION_0247,Priya N.,VEHICLE_00043,A male individual resembling Priya N. was observed near LOCATION_0247.,FIELD_SURVEILLANCE_UNIT,0.81
SURV_00020,CASE_0007,2025-12-28 23:32:26,LOCATION_0037,Suresh Reddy,VEHICLE_00044,Suresh Reddy was clearly identified near LOCATION_0037 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.83
SURV_00021,CASE_0007,2025-07-05 00:14:42,LOCATION_0227,Alka Kulkarni,VEHICLE_00045,Alka Kulkarni was clearly identified near LOCATION_0227 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.8
SURV_00022,CASE_0008,2025-09-22 23:41:51,LOCATION_0278,Mohit R.,VEHICLE_00052,A male individual resembling Mohit R. was observed near LOCATION_0278.,FIELD_SURVEILLANCE_UNIT,0.61
SURV_00023,CASE_0008,2026-02-06 12:38:35,LOCATION_0088,T. Pandey,VEHICLE_00053,A male individual resembling T. Pandey was observed near LOCATION_0088.,FIELD_SURVEILLANCE_UNIT,0.67
SURV_00024,CASE_0008,2026-04-28 17:38:12,LOCATION_0188,KIRTI MISHRA,VEHICLE_00054,A male individual resembling KIRTI MISHRA was observed near LOCATION_0188.,FIELD_SURVEILLANCE_UNIT,0.88
SURV_00025,CASE_0009,2025-12-03 18:14:55,LOCATION_0079,PANKAJ VERMA,VEHICLE_00055,A male individual resembling PANKAJ VERMA was observed near LOCATION_0079.,FIELD_SURVEILLANCE_UNIT,0.7
SURV_00026,CASE_0009,2025-06-13 17:12:43,LOCATION_0299,Neha Bhatt,VEHICLE_00056,Neha Bhatt was clearly identified near LOCATION_0299 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.75
SURV_00027,CASE_0009,2026-04-06 01:45:20,LOCATION_0269,Kirti Gupta,VEHICLE_00057,Kirti Gupta was clearly identified near LOCATION_0269 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.8
SURV_00028,CASE_0010,2025-02-25 21:52:02,LOCATION_0100,A. Gupta,VEHICLE_00064,A male individual resembling A. Gupta was observed near LOCATION_0100.,FIELD_SURVEILLANCE_UNIT,0.85
SURV_00029,CASE_0010,2025-03-26 16:12:27,LOCATION_0280,Ravi Joshi,VEHICLE_00065,Ravi Joshi was clearly identified near LOCATION_0280 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.83
SURV_00030,CASE_0010,2025-03-31 23:24:25,LOCATION_0230,VIKRAM AGARWAL,VEHICLE_00066,A male individual resembling VIKRAM AGARWAL was observed near LOCATION_0230.,FIELD_SURVEILLANCE_UNIT,0.71
SURV_00031,CASE_0011,2025-03-03 02:39:12,LOCATION_0221,Sanjay Joshi,VEHICLE_00069,Sanjay Joshi was clearly identified near LOCATION_0221 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.71
SURV_00032,CASE_0011,2025-08-24 18:59:06,LOCATION_0021,Anita Chauhan,VEHICLE_00752,Anita Chauhan was clearly identified near LOCATION_0021 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.63
SURV_00033,CASE_0011,2025-10-18 03:21:05,LOCATION_0061,Kirti Saxena,VEHICLE_00070,Kirti Saxena was clearly identified near LOCATION_0061 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.87
SURV_00034,CASE_0012,2025-03-08 05:13:37,LOCATION_0202,Amit Kulkarni,VEHICLE_00077,Amit Kulkarni was clearly identified near LOCATION_0202 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.62
SURV_00035,CASE_0012,2026-04-07 12:41:32,LOCATION_0142,Meena Bansal,VEHICLE_00078,Meena Bansal was clearly identified near LOCATION_0142 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.78
SURV_00036,CASE_0012,2025-01-07 14:58:57,LOCATION_0092,Swati Singh,VEHICLE_00079,Swati Singh was clearly identified near LOCATION_0092 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.61
SURV_00037,,2025-11-07 22:59:23,LOCATION_0245,A. Singh,VEHICLE_00639,An individual resembling A. Singh was observed in the vicinity of LOCATION_0245.,FIELD_SURVEILLANCE_UNIT,0.78
SURV_00038,,2025-03-14 09:08:51,LOCATION_0115,Isha Kapoor,VEHICLE_00640,Isha Kapoor was observed near LOCATION_0115; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.61
SURV_00039,,2024-08-09 01:12:14,LOCATION_0253,AmitTiwari,VEHICLE_00131,An individual resembling AmitTiwari was observed in the vicinity of LOCATION_0253.,FIELD_SURVEILLANCE_UNIT,0.58
SURV_00040,,2026-06-13 15:18:09,LOCATION_0005,Sunita Verma,VEHICLE_00554,Sunita Verma was observed near LOCATION_0005; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.62
SURV_00041,,2024-06-28 00:12:12,LOCATION_0214,Rekha Chauhan,,Rekha Chauhan was observed near LOCATION_0214; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.81
SURV_00042,,2026-04-14 13:34:48,LOCATION_0008,SwatiChauhan,VEHICLE_00001,An individual resembling SwatiChauhan was observed in the vicinity of LOCATION_0008.,FIELD_SURVEILLANCE_UNIT,0.7
SURV_00043,,2024-04-28 09:55:39,LOCATION_0245,Manju Pandey,,Manju Pandey was observed near LOCATION_0245; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.69
SURV_00044,,2024-07-02 19:55:56,LOCATION_0184,Manoj Rathore,VEHICLE_00463,Manoj Rathore was observed near LOCATION_0184; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.63
SURV_00045,,2026-06-15 23:46:37,LOCATION_0052,Anjali M.,,An individual resembling Anjali M. was observed in the vicinity of LOCATION_0052.,FIELD_SURVEILLANCE_UNIT,0.57
SURV_00046,,2026-03-02 06:35:27,LOCATION_0217,Ritu Pandey,,An individual resembling Ritu Pandey was observed in the vicinity of LOCATION_0217.,FIELD_SURVEILLANCE_UNIT,0.86
SURV_00047,,2024-08-05 16:08:06,LOCATION_0014,Vikram Naidu,,Vikram Naidu was observed near LOCATION_0014; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.89
SURV_00048,,2024-03-05 16:31:47,LOCATION_0020,Divya Mishra,,Divya Mishra was observed near LOCATION_0020; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.72
SURV_00049,,2024-11-04 17:26:19,LOCATION_0157,Simran Choudhary,VEHICLE_00565,Simran Choudhary was observed near LOCATION_0157; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.73
SURV_00050,,2024-01-30 03:12:22,LOCATION_0093,Ritu Singh,VEHICLE_00016,Ritu Singh was observed near LOCATION_0093; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.63
SURV_00051,,2024-11-15 21:50:10,LOCATION_0185,Shalini Chauhan,,Shalini Chauhan was observed near LOCATION_0185; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.66
SURV_00052,,2024-09-10 16:01:23,LOCATION_0077,deepika nair,,An individual resembling deepika nair was observed in the vicinity of LOCATION_0077.,FIELD_SURVEILLANCE_UNIT,0.8
SURV_00053,,2025-02-27 14:13:36,LOCATION_0238,A. Chauhan,VEHICLE_00752,An individual resembling A. Chauhan was observed in the vicinity of LOCATION_0238.,FIELD_SURVEILLANCE_UNIT,0.69
SURV_00054,,2025-12-27 03:01:10,LOCATION_0041,Meena Chauhan,VEHICLE_00597,Meena Chauhan was observed near LOCATION_0041; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.77
SURV_00055,,2024-06-25 23:42:51,LOCATION_0283,Deepika Agarwal,VEHICLE_00478,Deepika Agarwal was observed near LOCATION_0283; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.78
SURV_00056,,2025-11-11 15:46:34,LOCATION_0178,P. Agarwal,,An individual resembling P. Agarwal was observed in the vicinity of LOCATION_0178.,FIELD_SURVEILLANCE_UNIT,0.66
SURV_00057,,2026-02-20 20:27:41,LOCATION_0158,A. Gupta,,An individual resembling A. Gupta was observed in the vicinity of LOCATION_0158.,FIELD_SURVEILLANCE_UNIT,0.81
SURV_00058,,2025-10-28 01:44:30,LOCATION_0140,Ritu S.,,An individual resembling Ritu S. was observed in the vicinity of LOCATION_0140.,FIELD_SURVEILLANCE_UNIT,0.56
SURV_00059,,2025-07-22 07:19:43,LOCATION_0143,meena kapoor,VEHICLE_00645,An individual resembling meena kapoor was observed in the vicinity of LOCATION_0143.,FIELD_SURVEILLANCE_UNIT,0.67
SURV_00060,,2025-01-26 02:00:01,LOCATION_0077,Vikram Bansal,,Vikram Bansal was observed near LOCATION_0077; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.72
SURV_00061,,2025-07-26 03:00:39,LOCATION_0145,Anjali Choudhary,,Anjali Choudhary was observed near LOCATION_0145; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.89
SURV_00062,,2025-08-30 13:26:45,LOCATION_0121,Deepika Chauhan,VEHICLE_00328,Deepika Chauhan was observed near LOCATION_0121; no unusual activity reported.,FIELD_SURVEILLANCE_UNIT,0.61
