report_id,case_id,timestamp,location_id,person_reference,vehicle_reference,observation,source,confidence
SURV_00002,CASE_0001,2025-07-24 16:37:44,LOCATION_0041,Rajesh Rathore,VEHICLE_00005,Rajesh Rathore was observed operating VEHICLE_00005 near LOCATION_0041 prior to the reported incident.,FIELD_SURVEILLANCE_UNIT,0.86
SURV_00003,CASE_0001,2026-04-19 07:28:58,LOCATION_0141,V. Tiwari,VEHICLE_00003,A male individual resembling V. Tiwari was observed near LOCATION_0141.,FIELD_SURVEILLANCE_UNIT,0.65
SURV_00004,CASE_0002,2025-04-14 13:44:06,LOCATION_0242,NaveenSaxena,VEHICLE_00006,A male individual resembling NaveenSaxena was observed near LOCATION_0242.,FIELD_SURVEILLANCE_UNIT,0.69
SURV_00005,CASE_0002,2025-08-03 21:44:59,LOCATION_0202,S. Saxena,VEHICLE_00007,A male individual resembling S. Saxena was observed near LOCATION_0202.,FIELD_SURVEILLANCE_UNIT,0.69
SURV_00006,CASE_0002,2026-02-28 15:27:59,LOCATION_0092,Ritu P.,VEHICLE_00008,A male individual resembling Ritu P. was observed near LOCATION_0092.,FIELD_SURVEILLANCE_UNIT,0.85
SURV_00019,CASE_0007,2025-03-22 05:16:30,LOCATION_0247,Priya N.,VEHICLE_00043,A male individual resembling Priya N. was observed near LOCATION_0247.,FIELD_SURVEILLANCE_UNIT,0.81
SURV_00020,CASE_0007,2025-12-28 23:32:26,LOCATION_0037,Suresh Reddy,VEHICLE_00044,Suresh Reddy was clearly identified near LOCATION_0037 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.83
SURV_00021,CASE_0007,2025-07-05 00:14:42,LOCATION_0227,Alka Kulkarni,VEHICLE_00045,Alka Kulkarni was clearly identified near LOCATION_0227 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.8
SURV_00022,CASE_0008,2025-09-22 23:41:51,LOCATION_0278,Mohit R.,VEHICLE_00052,A male individual resembling Mohit R. was observed near LOCATION_0278.,FIELD_SURVEILLANCE_UNIT,0.61
SURV_00023,CASE_0008,2026-02-06 12:38:35,LOCATION_0088,T. Pandey,VEHICLE_00053,A male individual resembling T. Pandey was observed near LOCATION_0088.,FIELD_SURVEILLANCE_UNIT,0.67
SURV_00024,CASE_0008,2026-04-28 17:38:12,LOCATION_0188,KIRTI MISHRA,VEHICLE_00054,A male individual resembling KIRTI MISHRA was observed near LOCATION_0188.,FIELD_SURVEILLANCE_UNIT,0.88
SURV_00025,CASE_0009,2025-12-03 18:14:55,LOCATION_0079,PANKAJ VERMA,VEHICLE_00055,A male individual resembling PANKAJ VERMA was observed near LOCATION_0079.,FIELD_SURVEILLANCE_UNIT,0.7
SURV_00026,CASE_0009,2025-06-13 17:12:43,LOCATION_0299,Neha Bhatt,VEHICLE_00056,Neha Bhatt was clearly identified near LOCATION_0299 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.75
SURV_00027,CASE_0009,2026-04-06 01:45:20,LOCATION_0269,Kirti Gupta,VEHICLE_00057,Kirti Gupta was clearly identified near LOCATION_0269 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.8
SURV_00028,CASE_0010,2025-02-25 21:52:02,LOCATION_0100,A. Gupta,VEHICLE_00064,A male individual resembling A. Gupta was observed near LOCATION_0100.,FIELD_SURVEILLANCE_UNIT,0.85
SURV_00029,CASE_0010,2025-03-26 16:12:27,LOCATION_0280,Ravi Joshi,VEHICLE_00065,Ravi Joshi was clearly identified near LOCATION_0280 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.83
SURV_00030,CASE_0010,2025-03-31 23:24:25,LOCATION_0230,VIKRAM AGARWAL,VEHICLE_00066,A male individual resembling VIKRAM AGARWAL was observed near LOCATION_0230.,FIELD_SURVEILLANCE_UNIT,0.71
SURV_00031,CASE_0011,2025-03-03 02:39:12,LOCATION_0221,Sanjay Joshi,VEHICLE_00069,Sanjay Joshi was clearly identified near LOCATION_0221 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.71
SURV_00032,CASE_0011,2025-08-24 18:59:06,LOCATION_0021,Anita Chauhan,VEHICLE_00752,Anita Chauhan was clearly identified near LOCATION_0021 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.63
SURV_00033,CASE_0011,2025-10-18 03:21:05,LOCATION_0061,Kirti Saxena,VEHICLE_00070,Kirti Saxena was clearly identified near LOCATION_0061 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.87
SURV_00034,CASE_0012,2025-03-08 05:13:37,LOCATION_0202,Amit Kulkarni,VEHICLE_00077,Amit Kulkarni was clearly identified near LOCATION_0202 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.62
SURV_00035,CASE_0012,2026-04-07 12:41:32,LOCATION_0142,Meena Bansal,VEHICLE_00078,Meena Bansal was clearly identified near LOCATION_0142 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.78
SURV_00036,CASE_0012,2025-01-07 14:58:57,LOCATION_0092,Swati Singh,VEHICLE_00079,Swati Singh was clearly identified near LOCATION_0092 meeting with an associate.,FIELD_SURVEILLANCE_UNIT,0.61
